,Image,F1,Jaccard,Recall,Precision,Accuracy
319,archive\images\2957.png,0.8793565683646112,0.784688995215311,0.841025641025641,0.9213483146067416,0.9951934814453125
320,archive\images\1194.png,0.8751974723538705,0.7780898876404494,0.7914285714285715,0.9787985865724381,0.9987945556640625
321,archive\images\2198.png,0.9306738019946484,0.870336669699727,0.9432938856015779,0.9183869419107057,0.9956512451171875
322,archive\images\2497.png,0.0,0.0,0.0,0.0,0.995025634765625
323,archive\images\1867.png,0.9494204425711275,0.9037111334002006,0.9241025641025641,0.9761646803900325,0.99853515625
324,archive\images\2345.png,0.8760886172650879,0.779499728113105,0.9869191049913941,0.7876373626373626,0.9876251220703125
325,archive\images\1561.png,0.9278350515463917,0.8653846153846154,0.995085995085995,0.869098712446352,0.9990386962890625
326,archive\images\3035.png,0.9030032467532467,0.8231594524602294,0.9862588652482269,0.8327095808383234,0.992706298828125
327,archive\images\2789.png,0.864321608040201,0.7610619469026548,0.7903943077379187,0.9535050071530758,0.9872283935546875
328,archive\images\593.png,0.9586859133897462,0.9206500956022945,0.9206500956022945,1.0,0.9987335205078125
329,archive\images\2190.png,0.8332481689661047,0.7141605839416059,0.7887778136085134,0.8830324909747292,0.9850616455078125
330,archive\images\12.png,0.9455088330430456,0.8966493629070316,0.9880395215808633,0.9064885496183206,0.9966583251953125
331,archive\images\580.png,0.9707259953161592,0.9431171786120591,0.9730046948356808,0.9684579439252337,0.999237060546875
332,archive\images\2006.png,0.7100745059928734,0.5504771471622301,0.7395411605937922,0.6828660436137072,0.9863433837890625
